time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100621:1700,22.16,78.95,37.0,16.03,35.0,380.8,1.52,209.0,99221.0
20100621:1800,22.07,75.3,0.0,-0.0,0.0,374.8,0.76,222.0,99212.0
20100621:1900,20.28,79.95,0.0,-0.0,0.0,357.8,0.9,294.0,99241.0
20100621:2000,19.27,84.75,0.0,-0.0,0.0,342.8,1.1,305.0,99241.0
20100621:2100,19.33,83.25,0.0,-0.0,0.0,350.8,0.97,301.0,99231.0
20100621:2200,18.4,86.6,0.0,-0.0,0.0,344.4,1.1,301.0,99281.0
20100621:2300,17.43,90.15,0.0,-0.0,0.0,342.8,1.45,305.0,99241.0
20100622:0000,17.01,90.65,0.0,-0.0,0.0,328.6,1.31,311.0,99212.0
20100622:0100,16.21,93.25,0.0,-0.0,0.0,326.85,1.59,311.0,99202.0
20100622:0200,15.59,95.65,0.0,-0.0,0.0,334.4,1.79,312.0,99192.0
20100622:0300,15.47,96.0,1.0,0.0,1.0,338.0,1.86,319.0,99202.0
20100622:0400,16.14,94.75,96.0,64.39,82.0,344.8,2.0,320.0,99212.0
20100622:0500,17.2,88.8,30.0,0.0,30.0,349.8,1.93,316.0,99212.0
20100622:0600,18.65,82.7,49.0,0.0,49.0,354.2,1.79,308.0,99202.0
20100622:0700,19.63,69.75,137.0,0.0,137.0,345.2,1.93,302.0,99182.0
20100622:0800,20.21,61.65,195.0,0.0,195.0,357.0,1.86,291.0,99192.0
20100622:0900,20.71,56.75,712.0,327.3,412.0,358.4,1.66,271.0,99172.0
20100622:1000,21.61,50.25,995.0,942.73,98.0,359.2,1.79,244.0,99142.0
20100622:1100,22.28,46.4,886.0,663.21,263.0,345.4,2.21,244.0,99132.0
20100622:1200,22.91,44.15,688.0,339.36,389.0,353.6,2.28,249.0,99083.0
20100622:1300,23.25,43.05,283.0,5.12,279.0,356.4,2.07,264.0,99063.0
20100622:1400,22.92,44.55,571.0,587.96,192.0,347.0,2.07,286.0,99073.0
20100622:1500,22.84,45.8,409.0,549.13,144.0,345.4,2.07,306.0,99083.0
20100622:1600,22.71,47.15,238.0,471.38,94.0,339.8,1.72,309.0,99073.0
20100622:1700,22.27,50.85,68.0,191.4,44.0,331.2,1.52,297.0,99093.0
20100622:1800,21.35,56.75,0.0,-0.0,0.0,334.6,1.24,315.0,99152.0
20100622:1900,20.1,58.95,0.0,-0.0,0.0,329.2,1.17,338.0,99192.0
20100622:2000,20.44,55.35,0.0,-0.0,0.0,324.0,1.03,334.0,99221.0
20100622:2100,19.64,59.85,0.0,-0.0,0.0,320.4,1.1,335.0,99212.0
20100622:2200,18.91,64.35,0.0,-0.0,0.0,320.6,1.17,336.0,99221.0
20100622:2300,17.61,71.4,0.0,-0.0,0.0,320.4,1.31,342.0,99221.0
20100623:0000,16.53,77.25,0.0,-0.0,0.0,319.2,1.38,349.0,99182.0
